Statistical profiling result from isolate-0x148008000-26156-v8.log, (11192 ticks, 5014 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
   1423   12.7%   12.7%  Builtin: KeyedLoadIC_Megamorphic
   1141   10.2%   10.2%  JS: *queueMutationRecord /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/mutation-observers.js:33:29
    771    6.9%    6.9%  JS: *shadowIncludingInclusiveDescendantsIterator /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/shadow-dom.js:238:54
    347    3.1%    3.1%  Builtin: LoadIC_Megamorphic
    315    2.8%    2.8%  Builtin: GeneratorPrototypeNext
    188    1.7%    1.7%  JS: *returnTrue /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:12:20
    177    1.6%    1.6%  JS: *_stateData /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:795:15
    175    1.6%    1.6%  JS: *_runParsingLoop /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:208:20
    174    1.6%    1.6%  Builtin: GrowFastSmiOrObjectElements
    159    1.4%    1.4%  Builtin: ResumeGeneratorTrampoline
    113    1.0%    1.0%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    107    1.0%    1.0%  Builtin: StoreIC
    104    0.9%    0.9%  JS: *_callState /Users/andris/Projects/email-text-tools/node_modules/parse5/dist/cjs/tokenizer/index.js:493:15
     57    0.5%    0.5%  Builtin: StringAdd_CheckNone
     51    0.5%    0.5%  JS: *_createAttribute /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Document-impl.js:756:19
     41    0.4%    0.4%  Builtin: Call_ReceiverIsNotNullOrUndefined
     38    0.3%    0.3%  JS: *exports.clone /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/node.js:13:17
     38    0.3%    0.3%  JS: *Tokenizer.fastForwardTo /Users/andris/Projects/email-text-tools/node_modules/cheerio/node_modules/htmlparser2/lib/Tokenizer.js:256:50
     33    0.3%    0.3%  Builtin: LoadIC
     29    0.3%    0.3%  Builtin: RecordWriteSaveFP
     28    0.3%    0.3%  JS: *_modified /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:216:12
     27    0.2%    0.2%  JS: *_detach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:101:10
     27    0.2%    0.2%  Builtin: LoadICTrampoline_Megamorphic
     27    0.2%    0.2%  Builtin: FindOrderedHashMapEntry
     27    0.2%    0.2%  Builtin: CreateObjectWithoutProperties
     18    0.2%    0.2%  JS: *_attach /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Element-impl.js:86:10
     17    0.2%    0.2%  JS: *replaceData /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/CharacterData-impl.js:67:14
     16    0.1%    0.1%  JS: *following /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:220:18
     14    0.1%    0.1%  JS: *createElement /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/create-element.js:171:23
     14    0.1%    0.1%  Builtin: MapConstructor
     13    0.1%    0.1%  JS: *parse /Users/andris/Projects/email-text-tools/node_modules/rrweb-cssom/lib/parse.js:9:29
     12    0.1%    0.1%  RegExp: [&<>\u00A0]
     12    0.1%    0.1%  JS: *appendChild /Users/andris/Projects/email-text-tools/node_modules/symbol-tree/lib/SymbolTree.js:815:20
     12    0.1%    0.1%  JS: *_insert /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/Node-impl.js:764:10
